uid,categoria_t,marca,producto_t,precio_t,precio_y,max,date_max,min,date_min,cambio,link_t,imagen_t
7c3c7dd6a00712cfdeea112585df3173,telefonos,Iphone,iPhone SE 128GB Rojo,2399000.0,2399000.0,2399000.0,07-07-20,2399000.0,07-07-20,igual,http://www.alkosto.com/iphone-se-128gb-rojo,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199505841_1.jpg
d8ae1e2ce41c1d6bf5f781a22223f590,telefonos,Iphone,iPhone SE 128GB  Blanco,2399000.0,2399000.0,2399000.0,07-07-20,2399000.0,07-07-20,igual,http://www.alkosto.com/iphone-se-128gb-blanco,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199505483_1.jpg
4c43e6975614bd1e1cebb25ca28e0b21,telefonos,Iphone,iPhone SE 128GB  Negro,2399000.0,2399000.0,2399000.0,07-07-20,2399000.0,07-07-20,igual,http://www.alkosto.com/iphone-se-128gb-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199505124_1.jpg
9af352e56ad5747ae2f62e6d77b66cad,telefonos,Xiaomi,Celular XIAOMI MI NOTE 10 128GB  Blanco,2499900.0,2499900.0,2499900.0,07-07-20,2499900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-mi-note-10-128gb-blanco,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6941059636458_5.jpg
5edfcab1948d601a7ded3fbd36e68021,telefonos,Iphone,Celular iPhone XR 64GB 4G Rojo,2899000.0,2899000.0,2899000.0,07-07-20,2899000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xr-64gb-ds-4g-rojo,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/p/iphonexr-red-pureangles_us-en-printrojo.jpg
45218675bf884d90c6292a91cac8577f,telefonos,Iphone,Celular iPhone XR 64GB 4G Negro,2899000.0,2899000.0,2899000.0,07-07-20,2899000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xr-64gb-ds-4g-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/p/iphonexr-black-pureangles_us-en-print3.jpg
dcc2febbbf8c2c830d11c682b2049b2e,telefonos,Iphone,Celular iPhone XR 64GB 4G Blanco,2899000.0,2899000.0,2899000.0,07-07-20,2899000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xr-64gb-ds-4g-blanco,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/p/iphonexr-white-pureangles_us-en-printblanco.jpg
cc9e663eb0554a4436629f4f3ce28e30,telefonos,Samsung,Celular SAMSUNG Galaxy S10 DS 4G Negro,3299900.0,3299900.0,3299900.0,07-07-20,3299900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s10-ds-4g-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/7/7/7707222703223_5_2.jpg
277874a7d7c7861da531bfe27a6e963b,telefonos,Iphone,iPhone 11 64 GB en negro,3449000.0,3449000.0,3449000.0,07-07-20,3449000.0,07-07-20,igual,http://www.alkosto.com/iphone-11-64-gb-en-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199221086_10.jpg
7bffc035629a11a7c5de04e88b6cf681,telefonos,Iphone,iPhone 11 64 GB en amarillo,3449000.0,3449000.0,3449000.0,07-07-20,3449000.0,07-07-20,igual,http://www.alkosto.com/iphone-11-64-gb-en-amarillo,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199222199_10.jpg
fe2d43960a80767756e4a094211a6bdb,telefonos,Xiaomi,Celular XIAOMI POCOPHONE F2 PRO 256GB Azul- Neon Blue,3499900.0,3499900.0,3499900.0,07-07-20,3499900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-pocophone-f2-pro-256gb-azul-neon-blue,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6941059644170_001.jpg
b3ed7e9900c9e679c21c31f0cc3d7574,telefonos,Xiaomi,Celular XIAOMI POCOPHONE F2 PRO 256GB Gris- Cyber Gray,3499900.0,3499900.0,3499900.0,07-07-20,3499900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-pocophone-f2-pro-256gb-gris-cyber-gray,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6941059644125_001.jpg
3ed1b7d00bb4843adc35a80ff77d9539,telefonos,Xiaomi,Celular XIAOMI POCOPHONE F2 PRO 256GB Morado - Electric Purple,3499900.0,3499900.0,3499900.0,07-07-20,3499900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-pocophone-f2-pro-256gb-morado-electric-purple,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6941059644149_001.jpg
4536316c159f072ee56e4cc39a4d2441,telefonos,Iphone,iPhone 11 128 GB en rojo,3689000.0,3689000.0,3689000.0,07-07-20,3689000.0,07-07-20,igual,http://www.alkosto.com/iphone-11-128-gb-en-rojo,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199224049_10.jpg
026684cd820911b8dc7b6167b308a6ff,telefonos,Samsung,Celular SAMSUNG Galaxy S20 128GB Azul Claro,3699900.0,3699900.0,3699900.0,07-07-20,3699900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s20-128gb-azul-claro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090322082_2.jpg
a0cba4beb627805006acd04215885c3d,telefonos,Samsung,Celular SAMSUNG Galaxy S20 128GB Gris,3699900.0,3699900.0,3699900.0,07-07-20,3699900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s20-128gb-gris,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090322044_2.jpg
a1ff157fff5b3f8bd670d35690763b7d,telefonos,Samsung,Celular SAMSUNG Galaxy Note 10 DS 256 GB  Rosado,3799900.0,3799900.0,3799900.0,07-07-20,3799900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-note-10-ds-256-gb-rosado-1,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/7/7/7707222704251_4_3.jpg
827d52df8979bba6aec01cd34ac11ce3,telefonos,Huawei,Celular HUAWEI Mate 30 Pro 256GB Morado - Space Silver,3999900.0,3999900.0,3999900.0,07-07-20,3999900.0,07-07-20,igual,http://www.alkosto.com/celular-huawei-mate-30-pro-256gb-morado,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6901443366187_1.jpg
1ca26722e98178aa59ca8c1f817856d0,telefonos,Samsung,Celular SAMSUNG Galaxy S20 Plus 128GB Negro,4099900.0,4099900.0,4099900.0,07-07-20,4099900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s20-plus-128gb-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090307263_2.jpg
664f2dfb2fc12d7934ae9a9ed1480fa8,telefonos,Samsung,Celular SAMSUNG Galaxy S20 Plus 128GB Azul Claro,4099900.0,4099900.0,4099900.0,07-07-20,4099900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s20-plus-128gb-azul-claro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090306532_2.jpg
cf3fba3b23f250e98d15cc8198e6e025,telefonos,Samsung,Celular SAMSUNG Galaxy S20 Plus 128GB Gris,4099900.0,4099900.0,4099900.0,07-07-20,4099900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s20-plus-128gb-gris,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090306150_2.jpg
0f7c8c3a8357f0e603d6be35773bea30,telefonos,Samsung,Celular SAMSUNG Galaxy S10 Plus Ceramic 512GB DS 4G Blanco + Galaxy active Gris,4179200.0,4179200.0,4179200.0,07-07-20,4179200.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-s10-plus-ceramic-512gb-ds-4g-blanco-galaxy-active-gris,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/0/_/0_3.jpg
dec77d625c0f0c5497f058910e5114c7,telefonos,Iphone,Celular iPhone XS 64 GB 4G Gris Espacial,4309000.0,4309000.0,4309000.0,07-07-20,4309000.0,07-07-20,igual,http://www.alkosto.com/celular-iphone-xs-64-gb-4g-gris-espacial,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/x/s/xs-negro3_3.jpg
